,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc
21,22,742.0,91.5,9.5,198471324.05,0.0,2,-1.79,33.56,26.89,0.01,250563403
1138445,22,747.0,80.5,9.5,181228901.24,0.0,2,-1.78,32.56,26.07,0.01,251701827
21,22,748.0,81.5,9.5,182736031.89,0.0,2,-1.76,32.91,26.36,0.03,252850911
1160779,22,752.0,80.5,9.5,181228901.24,0.0,2,-1.77,32.45,25.99,0.02,254011669
21,22,754.0,81.5,9.5,182736031.89,0.0,2,-1.77,32.47,26.0,0.02,255176415
1163972,22,757.0,79.5,9.5,179733573.41,0.0,2,-1.77,32.2,25.78,0.01,256340366
21,22,760.0,80.5,9.5,181228901.24,0.0,2,-1.74,32.79,26.26,0.02,257493208
1148503,22,765.0,82.5,9.5,184254953.27,0.0,2,-1.78,33.59,26.91,0.01,258641690
21,22,766.0,78.5,9.5,178249858.72,0.0,2,-1.75,32.56,26.07,0.01,259795957
1155420,22,771.0,122.5,8.5,224257017.39,0.0,2,-1.18,33.58,26.89,0.02,260951356
21,22,772.0,124.5,8.5,227914602.76,0.0,2,-0.99,33.65,26.93,0.02,262106361
1155794,22,775.0,125.5,8.5,229763858.07,0.0,2,-0.87,33.69,26.96,0.03,263262134
21,22,780.0,125.5,8.5,229763858.07,0.0,2,-1.32,33.53,26.85,0.04,264412144
1152391,22,781.0,118.5,8.5,217103199.44,0.0,2,-1.81,33.48,26.82,0.01,265564514
21,22,786.0,355.75,8.5,556658135.07,0.0,2,17.66,34.28,24.69,0.01,266712645
1129313,22,787.0,354.75,8.5,553966782.04,0.0,2,17.58,34.26,24.69,0.01,267841937
21,22,792.0,352.25,8.5,548579766.75,0.0,2,17.56,34.25,24.69,0.01,268970005
1144645,22,794.0,350.25,8.5,543188633.27,0.0,2,17.33,34.22,24.72,0.01,270114629
21,22,796.0,350.25,8.5,543188633.27,0.0,2,17.29,34.22,24.73,0.01,271264719
1147912,22,799.0,351.25,8.5,545884593.56,0.0,2,17.47,34.28,24.73,0.01,272412610
21,22,802.0,98.5,8.5,184396641.74,0.0,2,-1.75,33.49,26.83,0.02,273564129
1158758,22,807.0,82.5,8.5,161610148.19,0.0,2,-1.75,33.62,26.93,0.02,274722866
21,22,810.0,76.5,8.5,153770836.79,0.0,2,-1.74,33.36,26.72,0.03,275882324
1158390,22,812.0,69.5,8.5,145080284.6,0.0,2,-1.75,33.24,26.63,0.03,277040693
21,22,815.0,65.5,8.5,140325903.99,0.0,2,-1.73,33.32,26.69,0.02,278190742
1142620,22,819.0,63.5,8.5,138004676.59,0.0,2,-1.64,33.27,26.65,0.02,279333341
21,22,820.0,63.5,8.5,138004676.59,0.0,2,-1.64,33.21,26.6,0.03,280462779
1124455,22,823.0,68.5,8.5,143877551.64,0.0,2,-1.67,33.21,26.6,0.03,281587213
21,22,828.0,72.5,8.5,148746161.99,0.0,2,-1.77,32.55,26.07,0.04,282722843
