,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc,binnedx_i,binnedy_i,bin_depth_i
1437816,630567,1438.0,299.5,30.5,7974765745.65,-31104000.0,2,9.66,34.71,26.79,0.44,359161210,1438,300,31
1437817,630568,1438.0,299.5,31.5,8860672159.3,-31104000.0,2,9.39,34.68,26.81,0.45,359161211,1438,300,32
1437818,630569,1438.0,299.5,32.5,9865652580.71,-31104000.0,2,9.12,34.65,26.82,0.47,359161212,1438,300,33
1437819,630570,1438.0,299.25,33.5,5500975552.24,-31104000.0,2,8.8,34.61,26.85,0.5,359161213,1438,299,34
1437820,630571,1438.0,299.75,33.5,5500975552.24,-31104000.0,2,8.8,34.61,26.85,0.5,359161214,1438,300,34
1437821,630572,1438.0,299.25,34.5,6140788426.34,-31104000.0,2,8.44,34.57,26.87,0.52,359161215,1438,299,35
1437822,630573,1438.0,299.75,34.5,6140788426.34,-31104000.0,2,8.44,34.57,26.87,0.52,359161216,1438,300,35
1437823,630574,1438.0,299.25,35.5,6857918891.74,-31104000.0,2,8.03,34.53,26.9,0.55,359161217,1438,299,36
1437824,630575,1438.0,299.75,35.5,6857918891.74,-31104000.0,2,8.03,34.53,26.9,0.55,359161218,1438,300,36
1437825,630576,1438.0,299.25,36.5,7657383949.31,-31104000.0,2,7.56,34.49,26.93,0.58,359161219,1438,299,37
1437826,630577,1438.0,299.75,36.5,7657383949.31,-31104000.0,2,7.56,34.49,26.93,0.58,359161220,1438,300,37
1437827,630578,1438.0,299.25,37.5,8543222798.99,-31104000.0,2,7.02,34.44,26.98,0.63,359161221,1438,299,38
1437828,630579,1438.0,299.75,37.5,8543222798.99,-31104000.0,2,7.02,34.44,26.98,0.63,359161222,1438,300,38
1437829,630580,1438.0,299.25,38.5,9518115478.65,-31104000.0,2,6.45,34.4,27.02,0.67,359161223,1438,299,39
1437830,630581,1438.0,299.75,38.5,9518115478.65,-31104000.0,2,6.45,34.4,27.02,0.67,359161224,1438,300,39
1437831,630582,1438.0,299.16,39.5,7055321072.76,-31104000.0,2,5.88,34.36,27.07,0.71,359161225,1438,299,40
1437832,630583,1438.0,299.5,39.5,7055321072.76,-31104000.0,2,5.88,34.36,27.07,0.71,359161226,1438,300,40
1437833,630584,1438.0,299.83,39.5,7055321072.76,-31104000.0,2,5.88,34.36,27.07,0.71,359161227,1438,300,40
1437834,630585,1438.0,299.16,40.5,7824399855.89,-31104000.0,2,5.28,34.33,27.11,0.76,359161228,1438,299,41
1437835,630586,1438.0,299.5,40.5,7824399855.89,-31104000.0,2,5.28,34.33,27.11,0.76,359161229,1438,300,41
1437836,630587,1438.0,299.83,40.5,7824399855.89,-31104000.0,2,5.28,34.33,27.11,0.76,359161230,1438,300,41
1437837,630588,1438.0,299.16,41.5,8650178331.09,-31104000.0,2,4.67,34.3,27.16,0.81,359161231,1438,299,42
1437838,630589,1438.0,299.5,41.5,8650178331.09,-31104000.0,2,4.67,34.3,27.16,0.81,359161232,1438,300,42
1437839,630590,1438.0,299.83,41.5,8650178331.09,-31104000.0,2,4.67,34.3,27.16,0.81,359161233,1438,300,42
1437840,630591,1438.0,299.16,42.5,9528380949.59,-31104000.0,2,4.05,34.28,27.21,0.86,359161234,1438,299,43
1437841,630592,1438.0,299.5,42.5,9528380949.59,-31104000.0,2,4.05,34.28,27.21,0.86,359161235,1438,300,43
1437842,630593,1438.0,299.83,42.5,9528380949.59,-31104000.0,2,4.05,34.28,27.21,0.86,359161236,1438,300,43
1437843,630594,1438.0,299.25,43.75,7839649796.9,-31104000.0,2,3.5,34.27,27.25,0.9,359161237,1438,299,44
1437844,630595,1438.0,299.25,43.25,7839649796.9,-31104000.0,2,3.5,34.27,27.25,0.9,359161238,1438,299,43
1437845,630596,1438.0,299.75,43.75,7839649796.9,-31104000.0,2,3.5,34.27,27.25,0.9,359161239,1438,300,44
1437846,630597,1438.0,299.75,43.25,7839649796.9,-31104000.0,2,3.5,34.27,27.25,0.9,359161240,1438,300,43
1437847,630598,1438.0,299.25,44.75,8561766108.67,-31104000.0,2,3.01,34.27,27.3,0.95,359161241,1438,299,45
1437848,630599,1438.0,299.25,44.25,8561766108.67,-31104000.0,2,3.01,34.27,27.3,0.95,359161242,1438,299,44
1437849,630600,1438.0,299.75,44.75,8561766108.67,-31104000.0,2,3.01,34.27,27.3,0.95,359161243,1438,300,45
1437850,630601,1438.0,299.75,44.25,8561766108.67,-31104000.0,2,3.01,34.27,27.3,0.95,359161244,1438,300,44
1437851,630602,1438.0,299.25,45.75,9305472114.92,-31104000.0,2,2.65,34.29,27.35,1.0,359161245,1438,299,46
1437852,630603,1438.0,299.25,45.25,9305472114.92,-31104000.0,2,2.65,34.29,27.35,1.0,359161246,1438,299,45
1437853,630604,1438.0,299.75,45.75,9305472114.92,-31104000.0,2,2.65,34.29,27.35,1.0,359161247,1438,300,46
1437854,630605,1438.0,299.75,45.25,9305472114.92,-31104000.0,2,2.65,34.29,27.35,1.0,359161248,1438,300,45
1437855,630606,1438.0,299.1,46.5,8050119702.47,-31104000.0,2,2.43,34.32,27.39,1.04,359161249,1438,299,47
1437856,630607,1438.0,299.3,46.5,8050119702.47,-31104000.0,2,2.43,34.32,27.39,1.04,359161250,1438,299,47
1437857,630608,1438.0,299.5,46.5,8050119702.47,-31104000.0,2,2.43,34.32,27.39,1.04,359161251,1438,300,47
1437858,630609,1438.0,299.7,46.5,8050119702.47,-31104000.0,2,2.43,34.32,27.39,1.04,359161252,1438,300,47
1437859,630610,1438.0,299.89,46.5,8050119702.47,-31104000.0,2,2.43,34.32,27.39,1.04,359161253,1438,300,47
1437860,630611,1438.0,299.1,47.5,8659654304.41,-31104000.0,2,2.31,34.37,27.44,1.09,359161254,1438,299,48
